,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,new_or_old,parking,furnished_status,lift,type_of_building
0,22400000,629,19.0327996,72.89635679999999,2,2,0,0,1,0,-1,0,1
1,35000000,974,19.0327996,72.89635679999999,3,2,0,0,1,0,-1,0,1
2,31700000,968,19.0856,72.909277,3,3,0,0,1,0,-1,0,1
3,18700000,629,19.155756,72.846862,2,2,2,1,1,2,-1,2,1
4,13500000,1090,19.177555,72.849887,2,2,0,-1,1,0,0,0,1
5,13000000,630,19.148058,72.937725,2,2,0,-1,1,0,0,0,1
6,20700000,1188,19.1549192106419,72.84356576222049,2,2,2,-1,1,2,1,2,1
7,22900000,968,19.147269,72.848351,3,3,0,-1,1,0,0,0,1
8,17000000,820,19.0151285,72.8580644,2,2,0,-1,1,0,0,0,1
11,34000000,1085,19.1595755,72.9465747,3,3,1,-1,1,1,0,1,1
13,20300000,891,18.9249211,72.82972240000001,3,3,1,-1,1,1,0,1,1
14,25000000,800,19.07907,72.907976,2,2,1,1,0,1,-1,1,1
15,21000000,1020,19.133092,72.93475,3,3,0,-1,1,0,0,0,1
17,22500000,1000,19.233531951904297,72.83919525146484,3,3,1,1,0,1,1,1,1
18,19000000,1058,19.176718,72.944581,2,2,0,1,1,0,-1,0,1
19,15500000,875,19.1746739,72.94310379999999,2,2,1,1,0,1,2,1,1
20,25000000,1500,19.1040673,72.91767840000001,3,3,0,1,0,0,-1,0,1
21,22500000,1600,19.1746739,72.94310379999999,3,3,1,-1,1,1,1,1,1
23,15000000,688,19.170591,72.937278,2,2,2,-1,1,2,0,2,1
24,23900000,950,19.13735580444336,72.83695220947266,2,2,0,1,0,0,2,0,1
25,25000000,900,19.12842,72.81988,2,2,1,1,0,1,2,1,1
28,25500000,1450,19.216866,72.86649054,3,3,0,1,0,0,-1,0,1
29,39800000,1765,19.0038320445835,72.8505157603601,3,2,1,1,0,1,1,1,1
30,47500000,1818,18.9871633297704,72.82989199332809,3,3,2,1,0,2,-1,2,1
