,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw_H2,Raw_Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire_Alarm
238,1654733569,0.8461673699015471,51.58,2.0,400.0,12622.0,19693,939.807,0.07,0.12,0.36,0.131,0.047,238,0
239,1654733570,0.8464185252159935,51.37,3.0,400.0,12626.0,19690,939.817,0.08,0.14,0.42,0.151,0.055,239,0
240,1654733571,0.8466947960618847,51.11,1.0,400.0,12626.0,19698,939.81,0.08,0.14,0.43,0.156,0.0559999999999999,240,0
247,1654733578,0.8485784609202329,50.08,5.0,400.0,12633.0,19696,939.813,0.09,0.17,0.46,0.1889999999999999,0.074,247,0
248,1654733579,0.8488547317661241,50.0,0.0,400.0,12629.0,19704,939.79,0.1,0.17,0.49,0.1889999999999999,0.072,248,0
249,1654733580,0.8491310026120151,49.85,12.0,400.0,12630.0,19698,939.791,0.1,0.18,0.5,0.195,0.074,249,0
250,1654733581,0.8493821579264615,49.71,11.0,400.0,12637.0,19710,939.812,0.1,0.17,0.49,0.192,0.073,250,0
251,1654733582,0.8496584287723528,49.66,14.0,400.0,12635.0,19696,939.8,0.09,0.17,0.47,0.183,0.069,251,0
252,1654733583,0.8499346996182437,49.6,0.0,400.0,12641.0,19707,939.808,0.09,0.16,0.46,0.177,0.067,252,0
253,1654733584,0.8501858549326902,49.53,14.0,400.0,12630.0,19703,939.801,0.09,0.16,0.46,0.18,0.068,253,0
254,1654733585,0.8504621257785814,49.45,1.0,400.0,12642.0,19698,939.805,0.09,0.17,0.47,0.185,0.07,254,0
255,1654733586,0.8507132810930278,49.31,33.0,400.0,12616.0,19686,939.811,0.09,0.17,0.48,0.187,0.071,255,0
256,1654733587,0.850989551938919,49.97,37.0,400.0,12613.0,19678,939.817,0.09,0.16,0.45,0.176,0.067,256,0
257,1654733588,0.85126582278481,50.61,51.0,400.0,12609.0,19660,939.821,0.09,0.16,0.44,0.171,0.065,257,0
258,1654733589,0.8515169780992564,51.19,44.0,400.0,12615.0,19674,939.827,0.09,0.16,0.49,0.175,0.062,258,0
259,1654733590,0.8517932489451476,51.75,37.0,400.0,12622.0,19674,939.821,0.1,0.17,0.55,0.182,0.061,259,0
260,1654733591,0.852044404259594,52.63,40.0,400.0,12622.0,19679,939.825,0.11,0.19,0.62,0.204,0.068,260,0
261,1654733592,0.8523206751054853,53.07,39.0,400.0,12624.0,19676,939.822,0.12,0.19,0.62,0.205,0.069,261,0
262,1654733593,0.8525718304199315,53.48,34.0,400.0,12624.0,19685,939.816,0.11,0.18,0.61,0.201,0.067,262,0
263,1654733594,0.8528229857343781,53.84,19.0,400.0,12623.0,19681,939.821,0.11,0.18,0.6,0.196,0.066,263,0
264,1654733595,0.8530992565802691,54.17,31.0,400.0,12627.0,19676,939.804,0.11,0.19,0.58,0.21,0.076,264,0
265,1654733596,0.8533504118947157,54.43,31.0,400.0,12632.0,19698,939.798,0.11,0.2,0.59,0.214,0.077,265,0
266,1654733597,0.8536266827406067,54.71,12.0,400.0,12631.0,19698,939.807,0.11,0.2,0.59,0.214,0.077,266,0
292,1654733623,0.8602822985734377,52.25,10.0,400.0,12657.0,19717,939.795,0.16,0.24,0.89,0.259,0.077,292,0
293,1654733624,0.8605334538878842,51.91,10.0,400.0,12664.0,19721,939.795,0.14,0.21,0.8,0.231,0.069,293,0
294,1654733625,0.8607846092023306,51.63,7.0,400.0,12658.0,19712,939.806,0.13,0.2,0.75,0.218,0.065,294,0
295,1654733626,0.861035764516777,51.38,6.0,400.0,12666.0,19729,939.799,0.12,0.18,0.66,0.192,0.057,295,0
296,1654733627,0.8612869198312236,51.16,13.0,400.0,12662.0,19718,939.785,0.11,0.17,0.62,0.18,0.054,296,0
297,1654733628,0.8615129596142252,50.96,11.0,400.0,12669.0,19713,939.79,0.1,0.15,0.54,0.158,0.047,297,0
298,1654733629,0.8617641149286717,50.8,13.0,400.0,12661.0,19714,939.784,0.09,0.14,0.51,0.147,0.044,298,0
299,1654733630,0.8620152702431183,50.63,1.0,400.0,12665.0,19722,939.787,0.08,0.12,0.44,0.128,0.038,299,0
300,1654733631,0.8622664255575647,50.51,2.0,400.0,12667.0,19729,939.789,0.07,0.11,0.41,0.119,0.035,300,0
327,1654733658,0.8688215792646172,55.71,7.0,400.0,12676.0,19719,939.795,0.08,0.12,0.48,0.124,0.032,327,0
328,1654733659,0.8690476190476191,55.83,17.0,400.0,12671.0,19709,939.784,0.09,0.12,0.51,0.132,0.034,328,0
329,1654733660,0.8692987743620655,55.98,10.0,400.0,12669.0,19717,939.794,0.09,0.13,0.53,0.1369999999999999,0.035,329,0
330,1654733661,0.8695248141450671,56.13,18.0,400.0,12675.0,19709,939.79,0.09,0.13,0.54,0.14,0.036,330,0
331,1654733662,0.8697759694595137,56.23,7.0,400.0,12674.0,19714,939.791,0.09,0.13,0.54,0.139,0.036,331,0
332,1654733663,0.8700020092425156,56.37,7.0,400.0,12673.0,19715,939.791,0.09,0.12,0.52,0.134,0.035,332,0
333,1654733664,0.8702280490255172,56.47,13.0,400.0,12680.0,19718,939.803,0.09,0.12,0.51,0.131,0.034,333,0
335,1654733666,0.8707052441229655,56.66,9.0,400.0,12674.0,19714,939.809,0.09,0.13,0.56,0.142,0.035,335,0
336,1654733667,0.8709312839059673,56.76,6.0,400.0,12678.0,19710,939.808,0.09,0.13,0.56,0.141,0.035,336,0
337,1654733668,0.8711824392204137,56.83,6.0,400.0,12681.0,19720,939.805,0.09,0.13,0.55,0.139,0.034,337,0
338,1654733669,0.8714084790034156,56.9,15.0,400.0,12681.0,19721,939.805,0.09,0.12,0.52,0.131,0.033,338,0
339,1654733670,0.8716345187864174,56.96,4.0,400.0,12679.0,19725,939.813,0.08,0.12,0.5,0.127,0.031,339,0
340,1654733671,0.8718856741008638,57.2,0.0,400.0,12691.0,19740,939.814,0.09,0.12,0.51,0.126,0.03,340,0
341,1654733672,0.8721117138838657,56.96,0.0,400.0,12697.0,19750,939.808,0.09,0.12,0.53,0.13,0.031,341,0
342,1654733673,0.8723377536668675,56.37,0.0,400.0,12703.0,19747,939.816,0.09,0.12,0.53,0.131,0.032,342,0
343,1654733674,0.8725637934498693,55.13,0.0,400.0,12698.0,19745,939.813,0.09,0.12,0.52,0.128,0.031,343,0
344,1654733675,0.872789833232871,54.47,5.0,400.0,12699.0,19752,939.812,0.08,0.11,0.49,0.121,0.0289999999999999,344,0
345,1654733676,0.8730409885473176,53.94,2.0,400.0,12701.0,19747,939.804,0.08,0.11,0.47,0.1159999999999999,0.0279999999999999,345,0
346,1654733677,0.8732670283303194,53.43,11.0,400.0,12698.0,19738,939.81,0.07,0.1,0.43,0.107,0.026,346,0
347,1654733678,0.8734930681133213,53.03,0.0,400.0,12700.0,19743,939.82,0.07,0.09,0.41,0.102,0.024,347,0
348,1654733679,0.8737191078963229,52.6,0.0,400.0,12698.0,19750,939.825,0.07,0.09,0.42,0.1009999999999999,0.024,348,0
349,1654733680,0.8739451476793247,52.25,5.0,400.0,12698.0,19738,939.822,0.07,0.1,0.44,0.105,0.024,349,0
350,1654733681,0.8741711874623266,51.92,0.0,400.0,12698.0,19749,939.825,0.07,0.1,0.45,0.108,0.025,350,0
351,1654733682,0.8743972272453284,51.65,5.0,400.0,12704.0,19743,939.825,0.07,0.1,0.45,0.107,0.025,351,0
352,1654733683,0.8746483825597748,51.26,6.0,400.0,12697.0,19746,939.824,0.08,0.1,0.47,0.11,0.025,352,0
353,1654733684,0.8748744223427767,51.06,7.0,400.0,12702.0,19744,939.821,0.08,0.11,0.49,0.1159999999999999,0.026,353,0
354,1654733685,0.8751004621257785,50.88,12.0,400.0,12693.0,19739,939.827,0.08,0.11,0.51,0.12,0.027,354,0
355,1654733686,0.8753265019087804,50.74,12.0,400.0,12700.0,19741,939.823,0.08,0.11,0.51,0.12,0.027,355,0
356,1654733687,0.875552541691782,50.58,12.0,400.0,12698.0,19740,939.818,0.08,0.11,0.49,0.1169999999999999,0.026,356,0
357,1654733688,0.8757785814747838,50.41,15.0,400.0,12696.0,19737,939.803,0.08,0.11,0.48,0.114,0.026,357,0
358,1654733689,0.8760046212577857,50.31,13.0,400.0,12695.0,19745,939.799,0.07,0.1,0.45,0.106,0.024,358,0
359,1654733690,0.8762306610407875,50.21,8.0,400.0,12705.0,19748,939.795,0.07,0.1,0.43,0.102,0.023,359,0
362,1654733693,0.876908780389793,49.86,19.0,400.0,12697.0,19733,939.805,0.07,0.09,0.42,0.098,0.021,362,0
363,1654733694,0.8771097046413501,49.84,8.0,400.0,12703.0,19744,939.796,0.07,0.09,0.43,0.1,0.022,363,0
364,1654733695,0.8773357444243519,49.76,17.0,400.0,12696.0,19736,939.796,0.07,0.09,0.43,0.1,0.022,364,0
365,1654733696,0.8775617842073538,49.7,17.0,400.0,12699.0,19738,939.794,0.07,0.09,0.43,0.099,0.022,365,0
366,1654733697,0.8777878239903556,49.62,7.0,400.0,12709.0,19746,939.796,0.07,0.09,0.41,0.095,0.021,366,0
389,1654733720,0.8828109302792846,56.36,6.0,400.0,12712.0,19745,939.848,0.07,0.1,0.46,0.103,0.02,389,0
390,1654733721,0.8830369700622864,56.46,11.0,400.0,12712.0,19732,939.849,0.08,0.1,0.5,0.111,0.022,390,0
391,1654733722,0.8832378943138435,56.57,14.0,400.0,12706.0,19735,939.841,0.09,0.12,0.59,0.129,0.025,391,0
392,1654733723,0.8834639340968453,56.67,11.0,400.0,12712.0,19744,939.843,0.1,0.13,0.63,0.139,0.027,392,0
393,1654733724,0.8836648583484026,56.75,1.0,400.0,12707.0,19734,939.839,0.11,0.14,0.68,0.149,0.0289999999999999,393,0
394,1654733725,0.8838657825999596,56.82,12.0,400.0,12707.0,19745,939.847,0.11,0.14,0.69,0.151,0.0289999999999999,394,0
395,1654733726,0.8840918223829615,56.9,19.0,400.0,12714.0,19738,939.85,0.11,0.14,0.68,0.149,0.0289999999999999,395,0
396,1654733727,0.8842927466345187,56.97,15.0,400.0,12709.0,19734,939.842,0.11,0.15,0.71,0.16,0.033,396,0
397,1654733728,0.8845187864175206,57.22,0.0,400.0,12725.0,19762,939.844,0.12,0.16,0.74,0.1669999999999999,0.035,397,0
398,1654733729,0.8847197106690776,56.97,0.0,400.0,12738.0,19773,939.846,0.12,0.16,0.74,0.1669999999999999,0.035,398,0
399,1654733730,0.8849206349206349,56.35,0.0,400.0,12734.0,19764,939.843,0.13,0.17,0.84,0.185,0.036,399,0
400,1654733731,0.8851466747036365,55.68,0.0,400.0,12732.0,19772,939.843,0.15,0.2,0.97,0.211,0.0409999999999999,400,0
401,1654733732,0.8853475989551938,55.0,1.0,400.0,12731.0,19763,939.847,0.19,0.24,1.2,0.26,0.049,401,0
403,1654733734,0.8857745629897527,53.86,0.0,400.0,12737.0,19767,939.851,0.21,0.27,1.33,0.287,0.054,403,0
404,1654733735,0.8859754872413099,53.34,8.0,400.0,12726.0,19762,939.837,0.21,0.27,1.33,0.287,0.054,404,0
405,1654733736,0.886176411492867,52.92,0.0,400.0,12725.0,19758,939.826,0.22,0.28,1.38,0.295,0.053,405,0
406,1654733737,0.8864024512758688,52.55,8.0,400.0,12729.0,19759,939.836,0.23,0.29,1.43,0.303,0.054,406,0
407,1654733738,0.8866033755274261,52.17,6.0,400.0,12728.0,19756,939.832,0.23,0.29,1.46,0.307,0.055,407,0
408,1654733739,0.8868042997789831,51.9,6.0,400.0,12734.0,19762,939.831,0.24,0.31,1.52,0.331,0.063,408,0
409,1654733740,0.8870052240305404,51.64,1.0,400.0,12733.0,19769,939.838,0.24,0.31,1.53,0.332,0.063,409,0
410,1654733741,0.8872312638135422,51.38,13.0,400.0,12729.0,19755,939.837,0.25,0.32,1.59,0.341,0.064,410,0
411,1654733742,0.8874321880650993,51.15,7.0,400.0,12733.0,19766,939.825,0.25,0.32,1.58,0.34,0.063,411,0
412,1654733743,0.8876331123166565,50.98,12.0,400.0,12732.0,19765,939.834,0.24,0.31,1.53,0.3289999999999999,0.061,412,0
413,1654733744,0.8878340365682138,50.83,12.0,400.0,12735.0,19761,939.838,0.25,0.32,1.59,0.336,0.059,413,0
414,1654733745,0.8880349608197708,50.65,7.0,400.0,12734.0,19756,939.83,0.26,0.33,1.68,0.35,0.06,414,0
415,1654733746,0.8882358850713281,50.49,7.0,400.0,12729.0,19750,939.833,0.27,0.34,1.71,0.356,0.061,415,0
416,1654733747,0.8884619248543297,50.37,3.0,400.0,12734.0,19758,939.833,0.27,0.33,1.7,0.354,0.061,416,0
417,1654733748,0.888662849105887,50.24,20.0,400.0,12729.0,19748,939.83,0.26,0.33,1.67,0.349,0.06,417,0
418,1654733749,0.888863773357444,50.13,13.0,400.0,12735.0,19763,939.83,0.25,0.31,1.58,0.33,0.057,418,0
419,1654733750,0.8890646976090013,50.05,8.0,400.0,12730.0,19763,939.827,0.24,0.3,1.53,0.319,0.055,419,0
420,1654733751,0.8892656218605586,49.98,14.0,400.0,12729.0,19752,939.834,0.23,0.28,1.46,0.302,0.051,420,0
421,1654733752,0.8894665461121156,49.9,0.0,400.0,12736.0,19764,939.829,0.22,0.28,1.43,0.296,0.05,421,0
422,1654733753,0.8896674703636727,49.82,3.0,400.0,12737.0,19765,939.822,0.21,0.26,1.35,0.28,0.047,422,0
423,1654733754,0.8898683946152299,49.73,11.0,400.0,12734.0,19759,939.827,0.2,0.25,1.3,0.27,0.046,423,0
424,1654733755,0.8900693188667872,49.67,15.0,400.0,12739.0,19763,939.829,0.2,0.25,1.28,0.264,0.044,424,0
425,1654733756,0.8902702431183442,49.59,13.0,400.0,12731.0,19758,939.836,0.2,0.24,1.26,0.259,0.043,425,0
426,1654733757,0.8904711673699015,49.53,10.0,400.0,12738.0,19755,939.838,0.19,0.24,1.22,0.252,0.042,426,0
427,1654733758,0.8906720916214586,49.37,40.0,400.0,12715.0,19729,939.842,0.18,0.22,1.14,0.2339999999999999,0.039,427,0
428,1654733759,0.8908730158730158,49.64,44.0,400.0,12710.0,19727,939.842,0.17,0.21,1.09,0.225,0.037,428,0
429,1654733760,0.8910739401245729,50.15,36.0,400.0,12711.0,19725,939.839,0.16,0.19,0.99,0.204,0.034,429,0
430,1654733761,0.8912748643761301,50.81,29.0,400.0,12720.0,19731,939.844,0.15,0.18,0.94,0.1939999999999999,0.032,430,0
431,1654733762,0.8914757886276872,51.38,43.0,400.0,12714.0,19731,939.837,0.15,0.18,0.93,0.1889999999999999,0.03,431,0
432,1654733763,0.8916767128792444,51.89,33.0,400.0,12722.0,19737,939.852,0.14,0.18,0.91,0.185,0.03,432,0
433,1654733764,0.8918525215993569,52.44,33.0,400.0,12722.0,19737,939.844,0.13,0.17,0.86,0.175,0.0279999999999999,433,0
434,1654733765,0.892053445850914,52.9,26.0,400.0,12721.0,19739,939.848,0.13,0.16,0.83,0.168,0.027,434,0
435,1654733766,0.8922543701024712,53.26,30.0,400.0,12724.0,19739,939.84,0.12,0.15,0.76,0.154,0.025,435,0
436,1654733767,0.8924552943540285,53.68,14.0,400.0,12723.0,19740,939.834,0.11,0.14,0.72,0.147,0.024,436,0
437,1654733768,0.8926562186055855,54.05,23.0,400.0,12723.0,19741,939.819,0.1,0.12,0.65,0.132,0.021,437,0
438,1654733769,0.8928571428571428,54.33,17.0,400.0,12726.0,19748,939.827,0.1,0.12,0.61,0.125,0.02,438,0
439,1654733770,0.8930329515772553,54.6,12.0,400.0,12735.0,19752,939.831,0.09,0.11,0.59,0.12,0.019,439,0
440,1654733771,0.8932338758288123,54.84,24.0,400.0,12727.0,19748,939.831,0.09,0.11,0.6,0.121,0.019,440,0
441,1654733772,0.8934348000803696,55.1,13.0,400.0,12731.0,19754,939.84,0.1,0.12,0.64,0.128,0.02,441,0
442,1654733773,0.8936357243319268,55.32,13.0,400.0,12735.0,19756,939.836,0.1,0.13,0.66,0.133,0.021,442,0
443,1654733774,0.8938115330520393,55.48,23.0,400.0,12736.0,19754,939.842,0.11,0.13,0.68,0.1369999999999999,0.021,443,0
444,1654733775,0.8940124573035964,55.67,11.0,400.0,12734.0,19755,939.85,0.11,0.13,0.68,0.1369999999999999,0.021,444,0
445,1654733776,0.8942133815551536,55.85,11.0,400.0,12738.0,19757,939.832,0.1,0.13,0.66,0.132,0.021,445,0
447,1654733778,0.8945901145268234,56.15,8.0,400.0,12740.0,19749,939.835,0.19,0.23,1.23,0.241,0.035,447,0
448,1654733779,0.8947910387783804,56.29,12.0,400.0,12737.0,19750,939.842,0.25,0.31,1.65,0.3229999999999999,0.047,448,0
449,1654733780,0.8949919630299377,56.38,18.0,400.0,12738.0,19755,939.839,0.28,0.33,1.8,0.349,0.049,449,0
450,1654733781,0.8951677717500501,56.46,13.0,400.0,12747.0,19764,939.824,0.29,0.35,1.9,0.369,0.051,450,0
451,1654733782,0.8953686960016072,56.61,16.0,400.0,12745.0,19760,939.83,0.3,0.36,1.95,0.377,0.052,451,0
452,1654733783,0.8955445047217199,56.66,14.0,400.0,12743.0,19754,939.834,0.3,0.36,1.97,0.381,0.052,452,0
453,1654733784,0.8957454289732769,56.76,6.0,400.0,12741.0,19756,939.815,0.3,0.36,1.95,0.377,0.052,453,0
454,1654733785,0.8959212376933894,56.85,8.0,400.0,12745.0,19758,939.818,0.29,0.34,1.87,0.361,0.05,454,0
455,1654733786,0.8961221619449466,56.91,4.0,400.0,12744.0,19766,939.824,0.29,0.34,1.86,0.356,0.047,455,0
456,1654733787,0.8963230861965037,57.0,7.0,400.0,12743.0,19752,939.841,0.28,0.33,1.8,0.3429999999999999,0.045,456,0
457,1654733788,0.8964988949166164,57.22,0.0,400.0,12759.0,19771,939.833,0.28,0.32,1.8,0.342,0.044,457,0
458,1654733789,0.8966998191681734,56.93,0.0,400.0,12777.0,19795,939.818,0.27,0.32,1.8,0.3389999999999999,0.042,458,0
459,1654733790,0.8968756278882859,55.72,0.0,400.0,12771.0,19795,939.821,0.27,0.32,1.77,0.3339999999999999,0.042,459,0
