iter	RMSE
0	10122612.2
1	9943054.13
2	9770104.148
3	9594619.911
4	9441713.846
5	9293423.078
6	9150199.631
7	9019358.512
8	8877362.354
9	8751929.66
10	8636624.507
11	8508159.188
12	8389394.459
13	8277897.26
14	8171792.533
15	8069881.487
16	7971479.368
17	7889186.047
18	7801796.501
19	7734581.434
20	7654559.469
21	7578383.008
22	7506815.991
23	7446529.017
24	7398747.273
25	7339369.272
26	7281666.926
27	7230088.269
28	7177305.251
29	7134398.852
30	7087790.84
31	7051640.952
32	7005136.945
33	6968503.638
34	6925522.541
35	6888485.242
36	6853195.36
37	6813569.467
38	6787156.496
39	6751802.498
40	6722884.985
41	6695521.96
42	6674609.691
43	6649218.877
44	6622521.591
45	6599387.679
46	6572182.856
47	6550169.995
48	6526213.246
49	6506482.948
50	6483003.793
51	6461358.329
52	6443486.558
53	6427053.01
54	6408206.179
55	6390638.345
56	6377821.122
57	6361845.436
58	6347668.738
59	6334027.928
60	6319619.371
61	6308998.223
62	6291562.58
63	6280017.615
64	6264011.056
65	6256138.555
66	6244287.939
67	6234449.616
68	6223424.495
69	6218879.502
70	6206173.741
71	6196772.436
72	6185171.135
73	6166869.352
74	6156376.33
75	6148906.64
76	6147758.941
77	6137189.191
78	6133152.207
79	6127512.799
80	6118932.261
81	6114057.773
82	6105868.854
83	6095469.83
84	6087302.506
85	6076035.089
86	6067097.157
87	6057715.436
88	6045218.791
89	6039952.108
90	6032264.23
91	6023384.207
92	6015661.961
93	6009079.774
94	6002722.362
95	6000739.862
96	5999554.389
97	5993326.788
98	5986757.723
99	5982659.66
100	5981918.322
101	5972927.283
102	5965106.978
103	5958998.462
104	5955353.846
105	5950404.828
106	5935033.969
107	5926738.63
108	5922318.675
109	5920679.66
110	5915570.132
111	5911854.284
112	5905574.659
113	5899773.019
114	5893998.143
115	5887195.719
116	5884458.71
117	5880092.067
118	5873537.869
119	5869168.452
120	5859862.126
121	5852274.428
122	5848851.308
123	5839918.797
124	5830762.463
125	5826695.507
126	5823287.853
127	5818389.749
128	5810947.535
129	5808192.385
130	5804154.974
131	5797713.825
132	5790662.735
133	5780620.123
134	5775140.084
135	5769649.094
136	5760630.772
137	5756619.61
138	5751628.385
139	5746246.284
140	5739928.402
141	5730865.607
142	5725528.638
143	5723131.536
144	5720309.988
145	5710452.902
146	5704175.195
147	5703739.64
148	5696175.429
149	5695268.323
150	5691251.6
151	5684537.335
152	5681769.43
153	5677511.207
154	5671564.284
155	5665902.858
156	5661534.697
157	5658006.887
158	5653740.045
159	5647259.367
160	5646461.872
161	5642599.275
162	5638851.08
163	5633403.285
164	5628103.429
165	5619181.645
166	5613628.637
167	5607631.253
168	5603769.166
169	5599716.644
170	5596720.258
171	5596220.714
172	5591684.749
173	5589110.739
174	5583637.807
175	5576198.604
176	5569147.289
177	5566199.505
178	5559858.133
179	5553271.484
180	5544592.725
181	5541131.14
182	5536203.571
183	5529727.32
184	5523184.208
185	5520474.235
186	5513021.62
187	5507383.375
188	5500090.593
189	5496225.329
190	5491642.121
191	5487256.339
192	5480356.837
193	5474278.716
194	5467693.818
195	5465819.606
196	5458974.755
197	5453711.719
198	5447124.723
199	5441194.317
200	5436753.371
201	5431463.797
202	5425561.631
203	5420871.607
204	5417583.454
205	5415312.18
206	5412051.246
207	5407186.99
208	5402996.453
209	5400645.335
210	5399093.577
211	5391844.451
212	5389553.354
213	5382929.294
214	5380831.166
215	5378972.728
216	5374820.744
217	5367266.966
218	5360949.701
219	5355023.303
220	5351584.028
221	5347840.998
222	5340915.182
223	5333916.98
224	5332250.857
225	5328689.878
226	5326270.362
227	5322300.169
228	5320700.53
229	5316014.166
230	5312997.55
231	5310042.197
232	5306391.635
233	5299221.368
234	5294797.27
235	5289845.547
236	5285011.616
237	5283735.503
238	5283062.959
239	5281010.312
240	5279746.214
241	5278814.136
242	5277625.698
243	5276531.128
244	5270928.886
245	5265658.025
246	5265008.526
247	5255655.209
248	5252901.072
249	5251094.722
250	5249598.143
251	5247012.243
252	5241598.97
253	5235275.923
254	5229068.92
255	5226973.769
256	5223175.565
257	5215977.26
258	5214297.311
259	5212141.254
260	5210803.714
261	5205033.94
262	5202915.973
263	5197919.249
264	5194792.735
265	5187763.12
266	5185663.06
267	5184497.922
268	5177452.967
269	5171607.802
270	5169694.558
271	5168113.844
272	5164457.603
273	5155721.213
274	5148109.896
275	5146838.994
276	5142450.372
277	5137262.892
278	5133785.289
279	5131977.972
280	5126974.497
281	5120420.87
282	5112912.155
283	5111736.594
284	5103836.65
285	5096223.027
286	5095374.781
287	5087655.608
288	5085546.575
289	5084542.266
290	5080399.63
291	5079633.894
292	5074866.377
293	5072440.21
294	5070970.945
295	5066348.223
296	5065181.688
297	5062940.308
298	5061883.284
299	5056337.32
300	5053795.037
301	5053165.712
302	5051711.015
303	5047437.812
304	5042697.214
305	5039001.979
306	5033383.973
307	5029794.014
308	5025722.899
309	5020099.58
310	5013166.005
311	5007987.071
312	5004746.394
313	5002679.257
314	4999416.579
315	4993424.544
316	4991466.23
317	4989768.265
318	4987955.154
319	4982763.087
320	4979862.827
321	4973827.123
322	4972370.12
323	4970033.253
324	4965837.734
325	4961265.849
326	4959975.643
327	4958704.219
328	4954462.682
329	4953762.159
330	4948860.853
331	4944843.544
332	4942853.912
333	4940200.23
334	4938146.771
335	4933936.048
336	4930709.729
337	4924798.248
338	4922284.359
339	4922080.197
340	4920447.501
341	4919091.505
342	4917007.799
343	4914587.86
344	4912305.968
345	4911114.796
346	4908170.791
347	4905795.185
348	4902201.914
349	4897907.052
350	4894000.413
351	4890166.379
352	4887246.456
353	4884380.937
354	4881497.12
355	4877750.505
356	4876955.889
357	4871876.889
358	4868219.871
359	4864511.767
360	4863061.782
361	4859914.332
362	4858808.626
363	4853987.431
364	4852954.857
365	4849765.897
366	4848375.725
367	4843822.943
368	4839986.04
369	4836647.544
370	4831655.209
371	4828277.001
372	4825973.332
373	4824786.765
374	4821853.255
375	4820891.846
376	4818874.277
377	4816639.595
378	4815188.724
379	4814735.228
380	4814050.755
381	4811184.603
382	4809632.242
383	4804782.529
384	4799877.103
385	4795033.57
386	4791885.237
387	4787715.73
388	4783705.628
389	4780646.766
390	4775387.56
391	4770419.944
392	4769454.976
393	4765643.359
394	4763759.917
395	4763116.006
396	4760989.521
397	4757656.286
398	4757038.096
399	4753546.733
400	4750727.663
401	4750066.229
402	4749858.913
403	4747767.989
404	4747621.574
405	4742965.046
406	4738952.116
407	4738260.63
408	4733774.136
409	4732820.513
410	4731396.285
411	4726574.027
412	4722735.714
413	4720545.071
414	4717946.528
415	4716473.594
416	4711986.074
417	4711064.449
418	4707309.791
419	4702480.47
420	4700942.651
421	4700366.146
422	4697777.702
423	4694677.154
424	4692114.145
425	4691121.778
426	4689741.229
427	4686261.042
428	4685452.581
429	4684951.539
430	4682342.154
431	4677921.935
432	4676324.207
433	4675546.922
434	4673458.317
435	4670167.884
436	4669379.965
437	4666908.336
438	4666755.833
439	4662126.099
440	4657781.623
441	4654863.373
442	4653779.222
443	4652062.181
444	4649653.776
