iter	Passed	Remaining
0	1	1500
1	3	1651
2	4	1594
3	6	1544
4	7	1551
5	9	1549
6	10	1552
7	12	1555
8	14	1570
9	16	1585
10	17	1603
11	20	1676
12	22	1710
13	24	1717
14	26	1717
15	28	1723
16	29	1717
17	31	1739
18	34	1756
19	36	1777
20	38	1789
21	40	1801
22	42	1812
23	44	1797
24	45	1773
25	47	1782
26	49	1790
27	51	1794
28	53	1795
29	55	1794
30	57	1792
31	58	1773
32	60	1784
33	62	1775
34	64	1776
35	66	1782
36	68	1784
37	70	1786
38	72	1778
39	74	1782
40	76	1794
41	78	1796
42	79	1775
43	81	1776
44	83	1781
45	85	1783
46	87	1781
47	90	1785
48	92	1786
49	94	1787
50	96	1789
51	98	1790
52	100	1792
53	102	1793
54	104	1795
55	106	1802
56	108	1803
57	111	1808
58	113	1815
59	116	1818
60	118	1819
61	120	1825
62	123	1830
63	125	1840
64	128	1844
65	130	1841
66	132	1843
67	134	1845
68	136	1847
69	138	1833
70	140	1832
71	142	1831
72	144	1835
73	146	1834
74	148	1832
75	150	1831
76	151	1812
77	153	1810
78	154	1797
79	155	1793
80	158	1793
81	159	1789
82	161	1787
83	163	1784
84	165	1785
85	167	1782
86	169	1777
87	170	1767
88	172	1764
89	174	1761
90	176	1758
91	177	1755
92	179	1752
93	182	1755
94	184	1758
95	186	1755
96	187	1744
97	189	1742
98	191	1740
99	193	1737
100	194	1727
101	196	1726
102	197	1722
103	199	1720
104	200	1710
105	202	1708
106	204	1706
107	206	1703
108	208	1702
109	209	1696
110	211	1693
111	212	1687
112	214	1686
113	216	1685
114	218	1683
115	220	1681
116	222	1680
117	224	1679
118	226	1678
119	228	1677
120	230	1674
121	232	1672
122	233	1666
123	235	1663
124	237	1663
125	240	1666
126	242	1665
127	244	1665
128	246	1663
129	248	1662
130	250	1659
131	252	1657
132	254	1657
133	255	1654
134	257	1651
135	259	1649
136	261	1646
137	263	1644
138	265	1642
139	266	1639
140	269	1638
141	270	1637
142	272	1635
143	274	1634
144	276	1631
145	278	1631
146	280	1629
147	281	1622
148	283	1620
149	285	1618
150	287	1615
151	289	1613
152	290	1610
153	292	1607
154	294	1605
155	296	1602
156	298	1600
157	299	1598
158	301	1594
159	303	1592
160	304	1584
161	305	1581
162	308	1583
163	310	1581
164	311	1577
165	313	1575
166	315	1572
167	317	1570
168	318	1568
169	320	1566
170	322	1563
171	323	1556
172	325	1555
173	327	1556
174	330	1557
175	332	1555
176	334	1556
177	336	1554
178	338	1551
179	340	1549
180	342	1549
181	344	1547
182	346	1545
183	348	1543
184	350	1542
185	352	1540
186	353	1538
187	355	1535
188	357	1533
189	359	1532
190	361	1530
191	363	1527
192	364	1525
193	366	1523
194	368	1521
195	370	1518
196	372	1516
197	374	1517
198	376	1516
199	378	1515
200	380	1514
201	382	1512
202	384	1510
203	386	1509
204	388	1507
205	390	1503
206	391	1501
207	393	1498
208	395	1496
209	397	1494
210	398	1490
211	400	1489
212	402	1487
213	404	1486
214	406	1484
215	408	1482
216	410	1479
217	412	1478
218	413	1476
219	416	1475
220	418	1473
221	419	1471
222	421	1469
223	423	1467
224	425	1465
225	427	1462
226	429	1461
227	431	1459
228	432	1457
229	434	1455
230	436	1452
231	438	1450
232	439	1447
233	441	1445
234	443	1443
235	445	1441
236	447	1440
237	449	1438
238	451	1436
239	453	1435
240	454	1432
241	456	1430
242	458	1429
243	460	1427
244	463	1427
245	465	1426
246	467	1425
247	469	1425
248	472	1424
249	474	1422
250	476	1421
251	478	1418
252	479	1416
253	481	1414
254	483	1412
255	486	1412
256	487	1410
257	490	1409
258	492	1407
259	493	1405
260	495	1403
261	497	1401
262	499	1399
263	501	1397
264	503	1395
265	505	1394
266	507	1392
267	509	1390
268	510	1388
269	512	1386
270	514	1384
271	516	1382
272	518	1380
273	520	1379
274	522	1377
275	524	1375
276	525	1372
277	527	1371
278	529	1369
279	531	1367
280	533	1365
281	535	1363
282	537	1360
283	538	1358
284	540	1357
285	542	1354
286	544	1352
287	546	1350
288	548	1348
289	550	1346
290	551	1344
291	553	1342
292	556	1342
293	558	1340
294	559	1338
295	561	1336
296	563	1333
297	565	1332
298	567	1330
299	569	1327
300	570	1325
301	572	1322
302	573	1320
303	575	1317
304	577	1314
305	578	1312
306	580	1310
307	582	1307
308	583	1305
309	585	1303
310	587	1300
311	588	1298
312	590	1296
313	592	1294
314	594	1292
315	596	1290
316	598	1288
317	600	1287
318	601	1285
319	603	1283
320	605	1280
321	607	1278
322	609	1277
323	611	1275
324	612	1272
325	614	1270
326	615	1267
327	617	1265
328	619	1263
329	621	1261
330	623	1260
331	625	1258
332	627	1256
333	628	1254
334	630	1251
335	632	1249
336	634	1247
337	636	1246
338	638	1244
339	639	1242
340	641	1240
341	643	1237
342	645	1235
343	646	1233
344	648	1230
345	650	1228
346	651	1226
347	653	1225
348	655	1223
349	657	1221
350	659	1219
351	661	1217
352	664	1218
353	668	1219
354	688	1250
355	692	1252
356	695	1253
357	700	1256
358	704	1258
359	708	1259
360	712	1261
361	716	1262
362	720	1264
363	724	1265
364	728	1267
365	732	1269
366	757	1305
367	759	1304
368	761	1302
369	764	1300
370	766	1299
371	768	1297
372	770	1295
373	773	1294
374	775	1292
375	783	1299
376	787	1301
377	790	1301
378	792	1299
379	795	1297
380	797	1295
381	799	1293
382	801	1291
383	803	1289
384	805	1286
385	807	1284
386	810	1283
387	812	1281
388	814	1279
389	816	1277
390	819	1275
391	821	1274
392	824	1273
393	826	1271
394	828	1269
395	830	1267
396	832	1265
397	835	1263
398	837	1260
399	839	1259
400	841	1257
401	843	1254
402	845	1252
403	847	1250
404	849	1247
405	852	1246
406	854	1245
407	856	1243
408	858	1241
409	860	1238
410	862	1236
411	864	1234
412	866	1231
413	868	1229
414	870	1227
415	872	1224
416	874	1222
417	876	1220
418	878	1217
419	880	1215
420	881	1212
421	883	1210
422	885	1207
423	887	1205
424	889	1202
425	891	1200
426	892	1198
427	894	1195
428	896	1193
429	898	1190
430	900	1188
431	902	1186
432	903	1183
433	905	1181
434	907	1178
435	909	1176
436	911	1173
437	913	1171
438	914	1169
439	916	1166
440	918	1164
441	920	1161
442	922	1159
443	924	1157
444	926	1154
445	927	1152
446	929	1150
447	931	1147
448	933	1145
449	935	1142
450	937	1141
451	939	1138
452	940	1135
453	942	1133
454	944	1131
455	946	1128
456	947	1126
457	949	1123
458	951	1121
459	953	1119
460	955	1117
461	957	1114
462	959	1112
463	961	1110
464	962	1107
465	964	1105
466	966	1103
467	968	1100
468	970	1098
469	972	1096
470	974	1094
471	976	1091
472	977	1089
473	980	1087
474	981	1085
475	983	1082
476	985	1080
477	993	1084
478	995	1082
479	996	1079
480	998	1077
481	1000	1075
482	1002	1072
483	1004	1070
484	1005	1068
485	1007	1065
486	1009	1063
487	1011	1060
488	1012	1058
489	1014	1055
490	1016	1053
491	1018	1051
492	1020	1049
493	1021	1046
494	1023	1044
495	1025	1042
496	1027	1040
497	1029	1038
498	1031	1035
499	1033	1033
500	1036	1032
501	1038	1030
502	1040	1027
503	1042	1025
504	1044	1023
505	1045	1021
506	1047	1018
507	1049	1016
508	1051	1014
509	1053	1012
510	1055	1009
511	1057	1007
512	1058	1005
513	1060	1003
514	1062	1000
515	1064	998
516	1065	995
517	1067	993
518	1069	991
519	1071	989
520	1073	986
521	1075	984
522	1077	982
523	1079	980
524	1080	977
525	1083	975
526	1085	973
527	1088	972
528	1090	971
529	1092	969
530	1096	968
531	1098	966
532	1100	964
533	1102	962
534	1105	960
535	1106	957
536	1108	955
537	1110	953
538	1112	951
539	1114	949
540	1116	946
541	1117	944
542	1120	943
543	1124	942
544	1129	943
545	1132	941
546	1138	942
547	1141	941
548	1145	941
549	1150	941
550	1152	939
551	1154	937
552	1156	934
553	1158	932
554	1160	930
555	1162	928
556	1164	926
557	1166	924
558	1168	922
559	1170	920
560	1173	918
561	1175	916
562	1177	914
563	1179	912
564	1182	910
565	1184	907
566	1186	905
567	1188	903
568	1190	901
569	1192	899
570	1194	897
571	1196	895
572	1198	893
573	1200	891
574	1202	889
575	1205	887
576	1207	885
577	1209	883
578	1211	881
579	1213	878
580	1216	877
581	1218	875
582	1220	873
583	1222	870
584	1224	868
585	1226	866
586	1227	863
587	1229	861
588	1231	859
589	1233	857
590	1235	855
591	1237	852
592	1239	850
593	1241	848
594	1243	846
595	1245	843
596	1246	841
597	1248	839
598	1250	836
599	1251	834
600	1254	832
601	1255	830
602	1257	828
603	1259	825
604	1261	823
605	1263	821
606	1265	819
607	1267	816
608	1269	814
609	1271	812
610	1272	810
611	1274	808
612	1276	805
613	1278	803
614	1280	801
615	1282	799
616	1283	797
617	1285	794
618	1287	792
619	1289	790
